country,density,densityMi,pop2021,area
Cameroon,57.261,148.3059,27224.265,475442
Georgia,57.0985,147.8851,3979.765,69700
Guinea-Bissau,55.7922,144.5019,2015.494,36125
Guinea,54.8988,142.1878,13497.244,245857
Equatorial Guinea,51.6879,133.8715,1449.896,28051
Iran (Islamic Republic of),51.589,133.6156,85028.759,1648195
Nicaragua,51.4093,133.1501,6702.385,130373
Fiji,49.4147,127.9842,902.906,18272
South Africa,49.173,127.3579,60041.994,1221037
Montserrat,48.7941,126.3768,4.977,102
Madagascar,48.4248,125.4202,28427.328,587041
Liberia,46.5139,120.4709,5180.203,111369
Belarus,45.4858,117.8083,9442.862,207600
Montenegro,45.4715,117.7713,628.053,13812
Colombia,44.9012,116.2941,51265.844,1141748
Djibouti,43.1977,111.8821,1002.187,23200
Turks and Caicos Islands,41.3829,107.1817,39.231,948
Lithuania,41.1924,106.6882,2689.862,65300
Mozambique,40.1241,103.9213,32163.047,801590
Palau,39.5839,102.5222,18.169,459
Congo,36.494,94.517,98053.01,2686858
Zimbabwe,38.6229,100.0333,15092.171,390757
United States of America,35.52,91.9968,332915.073,9372610
Faroe Islands,35.2111,91.1966,49.049,1393
Kyrgyzstan,33.1499,85.8582,6628.356,199951
Venezuela (Bolivarian Republic of),31.3221,81.1242,28704.954,916445
Lao People's Democratic Republic,31.1628,80.7117,7379.358,236800
Eritrea,30.6247,79.318,3601.467,117600
Estonia,29.3007,75.8889,1325.185,45227
Latvia,28.9184,74.8986,1866.942,64559
Bahamas,28.4668,73.7291,396.913,13943
Angola,27.2187,70.4966,33933.61,1246700
Peru,25.9563,67.2267,33359.418,1285216
Vanuatu,25.799,66.8194,314.464,12189
Somalia,25.6556,66.4481,16359.504,637657
Chile,25.4097,65.8112,19212.361,756102
Zambia,25.14,65.1125,18920.651,752612
Brazil,25.1291,65.0843,213993.437,8515767
Solomon Islands,24.3631,63.1004,703.996,28896
Saint Pierre and Miquelon,23.8264,61.7105,5.766,242
Sudan,23.8111,61.6707,44909.353,1886068
Sweden,22.5634,58.4391,10160.169,450295
Bhutan,20.313,52.6107,779.898,38394
Niger,19.8349,51.3724,25130.817,1267000
Papua New Guinea,19.7023,51.0289,9119.01,462840
Uruguay,19.2514,49.861,3485.151,181034
Algeria,18.7328,48.5179,44616.624,2381741
South Sudan,18.3646,47.5644,11381.378,619745
New Zealand,17.9713,46.5457,4860.643,270467
Paraguay,17.7495,45.9712,7219.638,406752
Belize,17.631,45.6643,404.914,22966
Norway,16.8795,43.718,5465.63,323802
Oman,16.8768,43.711,5223.375,309500
Mali,16.8165,43.5548,20855.735,1240192
Saudi Arabia,16.4399,42.5793,35340.683,2149690
Argentina,16.4026,42.4828,45605.826,2780400
Finland,16.3947,42.4623,5548.36,338424
New Caledonia,15.5164,40.1876,288.218,18575
Chad,13.1737,34.1198,16914.985,1284000
Turkmenistan,12.5342,32.4635,6117.924,488100
Bolivia,10.7711,27.8972,11832.94,1098581
Russian Federation,8.5337,22.1024,145912.025,17098242
Gabon,8.5136,22.0503,2278.825,267668
Central African Republic,7.8974,20.4544,4919.981,622984
Kazakhstan,6.9709,18.0546,18994.962,2724900
Niue,6.2269,16.1277,1.619,260
Mauritania,4.6329,11.9992,4775.119,1030700
Botswana,4.119,10.6681,2397.241,582000
Libya,3.9547,10.2428,6958.532,1759540
Canada,3.8126,9.8747,38067.903,9984670
Guyana,3.6765,9.522,790.326,214969
French Guiana,3.6685,9.5015,306.448,83534
Suriname,3.6125,9.3564,591.8,163820
Australia,3.3526,8.6832,25788.215,7692024
Iceland,3.3335,8.6338,343.353,103000
Namibia,3.1338,8.1166,2587.344,825615
Western Sahara,2.3003,5.9577,611.875,266000
Mongolia,2.1286,5.5129,3329.289,1564110
Falkland Islands,0.2902,0.7517,3.533,12173
Greenland,0.0263,0.068,56.877,2166086
